年月,縣市,用電性質,售電量(度),用電佔比(%)
11301,新竹市,工業,549223338,75.99
11301,嘉義市,住宅,40711717,45.36
11301,嘉義市,服務業,40815425,45.48
11301,嘉義市,農林漁牧,622891,0.69
11301,嘉義市,工業,7596749,8.46
11301,澎湖縣,住宅,15154509,42.89
11301,澎湖縣,服務業,15216476,43.07
11301,澎湖縣,農林漁牧,364187,1.03
11301,澎湖縣,工業,4596658,13.01
11301,金門縣,住宅,11603087,48.41
11301,金門縣,服務業,9461727,39.48
11301,金門縣,農林漁牧,309350,1.29
11301,金門縣,工業,2594425,10.82
11301,連江縣,住宅,2930044,44.26
11301,連江縣,服務業,2936953,44.37
11301,連江縣,農林漁牧,5159,0.08
11301,連江縣,工業,747662,11.29
11212,新北市,住宅,633697024,39.85
11212,新北市,服務業,492355475,30.97
11212,新北市,農林漁牧,1747107,0.11
11212,新北市,工業,462229122,29.07
11212,台北市,住宅,377332238,34.01
11212,台北市,服務業,684692427,61.71
11212,台北市,農林漁牧,252033,0.02
11212,台北市,工業,47207617,4.25
11212,桃園市,住宅,386520740,17.1
11212,桃園市,服務業,351349691,15.54
11212,桃園市,農林漁牧,4321000,0.19
11212,桃園市,工業,1518607901,67.17
11212,台中市,住宅,494192563,18.36
11212,台中市,服務業,467334136,17.36
11212,台中市,農林漁牧,12807927,0.48
11212,台中市,工業,1717073404,63.8
11212,台南市,住宅,31117390,12.75
11212,台南市,服務業,251761270,10.02
11212,台南市,農林漁牧,36477822,1.45
11212,台南市,工業,1903049473,75.77
11212,高雄市,住宅,401399960,16.98
11212,高雄市,服務業,431826456,18.27
11212,高雄市,農林漁牧,22129810,0.94
11212,高雄市,工業,1508197847,63.81
11212,宜蘭縣,住宅,72262941,25.87
11212,宜蘭縣,服務業,66786107,23.91
11212,宜蘭縣,農林漁牧,5246357,1.88
11212,宜蘭縣,工業,135077343,48.35
11212,新竹縣,住宅,108863014,11.41
11212,新竹縣,服務業,88246332,9.25
11212,新竹縣,農林漁牧,1577619,0.17
11212,新竹縣,工業,755670567,79.18
11212,苗栗縣,住宅,77228003,12.57
11212,苗栗縣,服務業,57378249,9.34
11212,苗栗縣,農林漁牧,2550507,0.42
11212,苗栗縣,工業,477034054,77.67
11212,彰化縣,住宅,186417276,21.27
11212,彰化縣,服務業,193937506,22.13
11212,彰化縣,農林漁牧,39180708,4.47
11212,彰化縣,工業,456984331,52.14
11212,南投縣,住宅,79647022,33.23
11212,南投縣,服務業,57220321,23.88
11212,南投縣,農林漁牧,9819239,4.1
11212,南投縣,工業,92963295,38.79
11212,雲林縣,住宅,102339086,23.14
11212,雲林縣,服務業,69595016,15.74
11212,雲林縣,農林漁牧,34042381,7.7
11212,雲林縣,工業,236218925,53.42
11212,嘉義縣,住宅,65783866,27.43
11212,嘉義縣,服務業,44754407,18.66
11212,嘉義縣,農林漁牧,22015877,9.18
11212,嘉義縣,工業,107273114,44.73
11212,屏東縣,住宅,117612486,30.51
11212,屏東縣,服務業,98461911,25.55
11212,屏東縣,農林漁牧,62405478,16.19
11212,屏東縣,工業,106948797,27.75
11212,台東縣,住宅,33571924,42.27
11212,台東縣,服務業,31922878,40.2
11212,台東縣,農林漁牧,2604960,3.28
11212,台東縣,工業,11314072,14.25
11212,花蓮縣,住宅,51084829,27.22
11212,花蓮縣,服務業,58137598,30.97
11212,花蓮縣,農林漁牧,2259271,1.2
11212,花蓮縣,工業,76215705,40.61
11212,基隆市,住宅,56170095,49.08
11212,基隆市,服務業,40244999,35.16
11212,基隆市,農林漁牧,417527,0.36
11212,基隆市,工業,17615430,15.39
11212,新竹市,住宅,72545620,10.17
11212,新竹市,服務業,94655670,13.28
11212,新竹市,農林漁牧,753196,0.11
11212,新竹市,工業,545081543,76.45
11212,嘉義市,住宅,40809966,45
11212,嘉義市,服務業,41736509,46.02
11212,嘉義市,農林漁牧,728971,0.8
11212,嘉義市,工業,7412653,8.17
11212,澎湖縣,住宅,14217406,41.44
11212,澎湖縣,服務業,15110961,44.04
11212,澎湖縣,農林漁牧,344751,1
11212,澎湖縣,工業,4637983,13.52
11212,金門縣,住宅,9158416,42.3
11212,金門縣,服務業,9465686,43.72
11212,金門縣,農林漁牧,301885,1.39
11212,金門縣,工業,2726314,12.59
11212,連江縣,住宅,1978677,34.81
11212,連江縣,服務業,2998340,52.76
11212,連江縣,農林漁牧,5715,0.1
11212,連江縣,工業,700724,12.33
11211,新北市,住宅,787421119,42.11
11211,新北市,服務業,588723638,31.48
11211,新北市,農林漁牧,2314209,0.12
11211,新北市,工業,491642157,26.29
11211,台北市,住宅,491842464,36.49
11211,台北市,服務業,792458679,58.8
11211,台北市,農林漁牧,278514,0.02
11211,台北市,工業,63172972,4.69
11211,桃園市,住宅,414535335,18.06
11211,桃園市,服務業,382213393,16.66
11211,桃園市,農林漁牧,4611334,0.2
11211,桃園市,工業,1493499764,65.08
11211,台中市,住宅,589098250,20.83
11211,台中市,服務業,525747810,18.59
11211,台中市,農林漁牧,13868020,0.49
11211,台中市,工業,1699874503,60.1
11211,台南市,住宅,382300913,14.23
11211,台南市,服務業,275868607,10.27
11211,台南市,農林漁牧,39174342,1.46
11211,台南市,工業,1988894948,74.04
11211,高雄市,住宅,618622859,24.12
11211,高雄市,服務業,477171856,18.61
11211,高雄市,農林漁牧,22350064,0.87
11211,高雄市,工業,1446593311,56.4
11211,宜蘭縣,住宅,80821292,27.11
11211,宜蘭縣,服務業,75513927,25.33
11211,宜蘭縣,農林漁牧,6160849,2.07
11211,宜蘭縣,工業,135659074,45.5
11211,新竹縣,住宅,118182977,12.12
11211,新竹縣,服務業,92910270,9.53
11211,新竹縣,農林漁牧,1969460,0.2
11211,新竹縣,工業,761784308,78.14
11211,苗栗縣,住宅,107135892,16.53
11211,苗栗縣,服務業,64568012,9.96
11211,苗栗縣,農林漁牧,2779407,0.43
11211,苗栗縣,工業,473655226,73.08
11211,彰化縣,住宅,228538719,25.2
11211,彰化縣,服務業,198735932,21.91
11211,彰化縣,農林漁牧,44017287,4.85
11211,彰化縣,工業,435737327,48.04
11211,南投縣,住宅,73847049,30.88
11211,南投縣,服務業,58509742,24.47
11211,南投縣,農林漁牧,10270999,4.3
11211,南投縣,工業,96479132,40.35
11211,雲林縣,住宅,132473127,27.03
11211,雲林縣,服務業,81632570,16.66
11211,雲林縣,農林漁牧,35569978,7.26
11211,雲林縣,工業,240416852,49.06
11211,嘉義縣,住宅,90264694,32.88
11211,嘉義縣,服務業,50619016,18.44
11211,嘉義縣,農林漁牧,24468652,8.91
11211,嘉義縣,工業,109210550,39.78
11211,屏東縣,住宅,156506978,36.13
11211,屏東縣,服務業,106218487,24.52
11211,屏東縣,農林漁牧,61080617,14.1
11211,屏東縣,工業,109380492,25.25
11211,台東縣,住宅,35832127,42.37
11211,台東縣,服務業,34680679,41.01
11211,台東縣,農林漁牧,2527789,2.99
11211,台東縣,工業,11529725,13.63
11211,花蓮縣,住宅,58042666,28.31
11211,花蓮縣,服務業,64134327,31.28
11211,花蓮縣,農林漁牧,2370263,1.16
11211,花蓮縣,工業,80512114,39.26
11211,基隆市,住宅,59610444,48.67
11211,基隆市,服務業,44744841,36.53
11211,基隆市,農林漁牧,418243,0.34
11211,基隆市,工業,17716980,14.46
11211,新竹市,住宅,106631177,13.97
11211,新竹市,服務業,104717077,13.72
11211,新竹市,農林漁牧,824149,0.11
11211,新竹市,工業,551131279,72.2
11211,嘉義市,住宅,50435126,47.1
11211,嘉義市,服務業,48190721,45.01
11211,嘉義市,農林漁牧,727052,0.68
11211,嘉義市,工業,7720050,7.21
11211,澎湖縣,住宅,18586412,43.65
11211,澎湖縣,服務業,18973230,44.56
11211,澎湖縣,農林漁牧,374773,0.88
11211,澎湖縣,工業,4642183,10.9
11211,金門縣,住宅,13221404,45.68
11211,金門縣,服務業,11823299,40.85
11211,金門縣,農林漁牧,322447,1.11
11211,金門縣,工業,3573327,12.35
11211,連江縣,住宅,2882252,42.17
11211,連江縣,服務業,3225801,47.19
11211,連江縣,農林漁牧,6490,0.09
11211,連江縣,工業,720834,10.55
11210,新北市,住宅,938775362,45.54
11210,新北市,服務業,613451537,29.76
11210,新北市,農林漁牧,2099021,0.1
11210,新北市,工業,506916450,24.59
11210,台北市,住宅,567939806,38.53
11210,台北市,服務業,847791279,57.51
11210,台北市,農林漁牧,311631,0.02
11210,台北市,工業,58007950,3.94
11210,桃園市,住宅,577092409,22.49
11210,桃園市,服務業,430563609,16.78
11210,桃園市,農林漁牧,5532707,0.22
11210,桃園市,工業,1552571097,60.51
11210,台中市,住宅,667825097,22.05
11210,台中市,服務業,556781362,18.39
11210,台中市,農林漁牧,15400367,0.51
11210,台中市,工業,1788443039,59.05
11210,台南市,住宅,422846489,14.06
11210,台南市,服務業,293527630,9.76
11210,台南市,農林漁牧,41784967,1.39
11210,台南市,工業,2248516924,74.78
11210,高雄市,住宅,507768970,20.32
11210,高雄市,服務業,498622716,19.95
11210,高雄市,農林漁牧,21930888,0.88
11210,高雄市,工業,1470694470,58.85
11210,宜蘭縣,住宅,108395963,32.78
11210,宜蘭縣,服務業,79946262,24.18
11210,宜蘭縣,農林漁牧,7062362,2.14
11210,宜蘭縣,工業,135264629,40.91
11210,新竹縣,住宅,158219240,14.75
11210,新竹縣,服務業,105944074,9.87
11210,新竹縣,農林漁牧,2112570,0.2
11210,新竹縣,工業,806659899,75.18
11210,苗栗縣,住宅,114612618,17.03
11210,苗栗縣,服務業,67677843,10.06
11210,苗栗縣,農林漁牧,3059791,0.45
11210,苗栗縣,工業,487562235,72.46
11210,彰化縣,住宅,258244154,26.08
11210,彰化縣,服務業,215902384,21.8
11210,彰化縣,農林漁牧,49359139,4.98
11210,彰化縣,工業,466647907,47.13
11210,南投縣,住宅,98518968,36.17
11210,南投縣,服務業,64353004,23.63
11210,南投縣,農林漁牧,10817502,3.97
11210,南投縣,工業,98651455,36.22
11210,雲林縣,住宅,138928728,27.51
11210,雲林縣,服務業,79929494,15.83
11210,雲林縣,農林漁牧,40272467,7.97
11210,雲林縣,工業,245881363,48.69
11210,嘉義縣,住宅,88364016,31.83
11210,嘉義縣,服務業,51572668,18.58
11210,嘉義縣,農林漁牧,26697207,9.62
11210,嘉義縣,工業,110958248,39.97
11210,屏東縣,住宅,153112279,35.31
11210,屏東縣,服務業,110248136,25.43
11210,屏東縣,農林漁牧,61724129,14.24
11210,屏東縣,工業,108512957,25.03
11210,台東縣,住宅,46775873,47.29
11210,台東縣,服務業,37492933,37.91
11210,台東縣,農林漁牧,2581785,2.61
11210,台東縣,工業,12061348,12.19
11210,花蓮縣,住宅,74402187,32.48
11210,花蓮縣,服務業,67468512,29.45
11210,花蓮縣,農林漁牧,2518643,1.1
11210,花蓮縣,工業,84672331,36.96
11210,基隆市,住宅,82908086,54.72
11210,基隆市,服務業,49461615,32.64
11210,基隆市,農林漁牧,490598,0.32
11210,基隆市,工業,18656275,12.31
11210,新竹市,住宅,111540309,13.75
11210,新竹市,服務業,112723439,13.9
11210,新竹市,農林漁牧,958007,0.12
11210,新竹市,工業,585989122,72.24
11210,嘉義市,住宅,56084600,49
11210,嘉義市,服務業,49507362,43.26
11210,嘉義市,農林漁牧,798180,0.7
11210,嘉義市,工業,8059273,7.04
11210,澎湖縣,住宅,19982528,45.8
11210,澎湖縣,服務業,18389511,42.15
11210,澎湖縣,農林漁牧,406370,0.93
11210,澎湖縣,工業,4853619,11.12
11210,金門縣,住宅,13284470,45.73
11210,金門縣,服務業,11713144,40.32
11210,金門縣,農林漁牧,362789,1.25
